Transformer,Encoder,Model,Split,R2,MAE,MAPE,MSE,RMSE
MinMaxScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.848515456262789,1524.9545406722068,0.09835014061086872,8041797.636859129,2832.4476766638586
MinMaxScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
MinMaxScaler,HelmertEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647514,0.2574490979465624,21524180.995038036,4637.110819989772
MinMaxScaler,HelmertEncoder,LinearRegression,Train,0.5958075121796158,3600.6732246613037,0.2573392651477221,21496522.565163903,4636.286634160327
MinMaxScaler,HelmertEncoder,RandomForestRegressor,Test,0.9133779968274217,1197.1641425757152,0.07818442641809406,4598701.367705474,2137.322533631586
MinMaxScaler,HelmertEncoder,RandomForestRegressor,Train,0.9884468895197035,437.5440983869494,0.02857772733088052,614462.514348627,783.7549466429513
MinMaxScaler,HelmertEncoder,SVR,Test,0.04232318733138294,5599.796716459357,0.42852239146265275,50910162.55992539,7132.865490751234
MinMaxScaler,HelmertEncoder,SVR,Train,0.04328866774638866,5597.581577206493,0.4283818205759783,50879945.19101719,7132.916529984944
MinMaxScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8495771322656047,1518.2990868975726,0.09740010295372294,7978541.012462789,2817.7483492892475
MinMaxScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
MinMaxScaler,OneHotEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647514,0.2574490979465624,21524180.995038036,4637.110819989772
MinMaxScaler,OneHotEncoder,LinearRegression,Train,0.5958075121796158,3600.6732246613037,0.2573392651477221,21496522.565163903,4636.286634160327
MinMaxScaler,OneHotEncoder,RandomForestRegressor,Test,0.9124203901506789,1197.081726922897,0.07817326874498758,4648524.872812924,2147.413748487895
MinMaxScaler,OneHotEncoder,RandomForestRegressor,Train,0.9884506000825478,438.12141555961006,0.028640073302393022,614292.152440807,783.4223476901791
MinMaxScaler,OneHotEncoder,SVR,Test,0.04232318733138294,5599.796716459357,0.42852239146265275,50910162.55992539,7132.865490751234
