split_index,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,Split,R2,MAE,MAPE,MSE,RMSE
0,100,5,auto,3,5,Train,0.8362014715764614,1995.659742533219,0.13673531197942573,8773823.966632873,2962.0641395204243
0,100,5,auto,3,5,Test,0.8442166557351586,2041.9384542969747,0.14142227297951585,8048230.7817179095,2836.940390934908
0,100,5,auto,3,10,Train,0.8372086186692216,2008.901121899558,0.138006367490218,8719876.40443295,2952.943684602358
0,100,5,auto,3,10,Test,0.8453311752440222,2047.978395375042,0.1422626861648342,7990651.389900436,2826.774025262797
0,100,5,auto,5,2,Train,0.8364872976403468,2004.3889619263957,0.13735827477724788,8758513.770663828,2959.4786315606043
0,100,5,auto,5,2,Test,0.845744140258231,2038.6455985684076,0.14157952624817466,7969316.389327609,2822.9977664404214
0,100,5,auto,5,5,Train,0.833380843195184,2035.4478589605428,0.1394636205825344,8924910.164603014,2987.458813875601
0,100,5,auto,5,5,Test,0.8422877333495322,2071.744510774515,0.14365302370228583,8147884.647750918,2854.4499728933624
0,100,5,auto,5,10,Train,0.8338759281078787,2026.6110617780935,0.13909189950552167,8898391.074875375,2983.0171093836143
0,100,5,auto,5,10,Test,0.842691418038738,2060.5695269021708,0.14314094168301533,8127029.096362506,2850.794467576101
0,100,5,auto,10,2,Train,0.8360297188264535,2009.8428839503936,0.13803217641698656,8783023.856331868,2963.6166851217226
0,100,5,auto,10,2,Test,0.8453215563280942,2045.9763203519117,0.14221859024343958,7991148.331698829,2826.8619229985093
0,100,5,auto,10,5,Train,0.833295237628213,2012.0887566694123,0.13723178255117402,8929495.603693318,2988.226163410882
0,100,5,auto,10,5,Test,0.8426670773146102,2049.751627717709,0.141605334629047,8128286.610547345,2851.0150140866226
0,100,5,auto,10,10,Train,0.8331169532038171,2028.998586887462,0.13884635179794622,8939045.360768043,2989.8236337229064
0,100,5,auto,10,10,Test,0.8429979573441693,2062.4041875248304,0.14296488019476333,8111192.364358704,2848.01551336342
0,100,5,auto,15,2,Train,0.8288976275533406,2053.4025598362277,0.13945856045321936,9165052.400461681,3027.3837550699914
0,100,5,auto,15,2,Test,0.8379366862677996,2090.327083384876,0.14382559543653206,8372672.677698276,2893.557097708334
0,100,5,auto,15,5,Train,0.8341659032682137,2003.5256828927775,0.13681431101067137,8882858.63367482,2980.4124938798022
0,100,5,auto,15,5,Test,0.8442190595085984,2039.4316989641952,0.14125381856503438,8048106.595634459,2836.9185035235782
0,100,5,auto,15,10,Train,0.8347229754654416,2013.8485149184362,0.13823223815507332,8853019.21178121,2975.4023613254744
0,100,5,auto,15,10,Test,0.844738446075839,2050.471246057065,0.14274330967620577,8021273.5411907835,2832.185294289691
0,100,5,sqrt,3,2,Train,0.7430730259844429,2671.2995769916406,0.20742928899346,13762224.019884497,3709.747163875794
0,100,5,sqrt,3,2,Test,0.7572682815691686,2637.742259529581,0.2081343468643985,12540242.329456775,3541.2204576186405
0,100,5,sqrt,3,5,Train,0.7619806745236386,2571.9420773181914,0.19503213695040203,12749440.928958837,3570.6359278087757
0,100,5,sqrt,3,5,Test,0.7780675869271345,2555.3112159921366,0.19733333589120625,11465688.368567698,3386.102238351302
0,100,5,sqrt,3,10,Train,0.7442846374061953,2653.4346234164595,0.20522017386744681,13697324.38108597,3700.9896488758204
0,100,5,sqrt,3,10,Test,0.7608837086557604,2616.7482210343283,0.2057998393856693,12353458.615801888,3514.7487272637127
0,100,5,sqrt,5,2,Train,0.745462636729286,2663.499744383306,0.20372219915995138,13634225.165280527,3692.4551676737424
0,100,5,sqrt,5,2,Test,0.7608108605538053,2634.131763394174,0.20453398043781745,12357222.16536048,3515.284080321316
0,100,5,sqrt,5,5,Train,0.7546655632379455,2623.2924794422597,0.2006522368235052,13141272.890666356,3625.089363128357
0,100,5,sqrt,5,5,Test,0.7703724224474204,2585.872779275336,0.20133113374806672,11863243.446925294,3444.3059456043234
0,100,5,sqrt,5,10,Train,0.7434416278320475,2673.2347096708613,0.20521682572265978,13742479.96140128,3707.085103069699
0,100,5,sqrt,5,10,Test,0.760880872467627,2630.3481036032713,0.20527079131809042,12353605.141714176,3514.769571638257
0,100,5,sqrt,10,2,Train,0.7390555141273971,2694.5773333978864,0.20719038428704895,13977420.958201516,3738.638917868576
0,100,5,sqrt,10,2,Test,0.7556346165510359,2653.095925667957,0.20773447860790617,12624642.321946332,3553.1172682514057
0,100,5,sqrt,10,5,Train,0.7423038272225057,2661.3329965290773,0.20415490697205485,13803425.943964904,3715.296212143105
0,100,5,sqrt,10,5,Test,0.7588838857341886,2627.4828246179623,0.20538286410164394,12456775.414342409,3529.415732715885
0,100,5,sqrt,10,10,Train,0.7231545472335277,2807.5647115167203,0.21958684598021352,14829151.958283076,3850.863793784854
0,100,5,sqrt,10,10,Test,0.7412779581344091,2744.5082187053235,0.21779116291363532,13366349.984832745,3656.001912586035
0,100,5,sqrt,15,2,Train,0.743624593231724,2669.5730925808944,0.20335029377701616,13732679.46914902,3705.763007688028
0,100,5,sqrt,15,2,Test,0.7615483774941878,2627.4070135295215,0.20363426965130882,12319119.847236322,3509.8603743220788
0,100,5,sqrt,15,5,Train,0.7390256276243747,2658.6285507142784,0.2042625125183144,13979021.820669703,3738.8530087006234
0,100,5,sqrt,15,5,Test,0.7567295031519403,2620.0108163801824,0.20519042349635933,12568077.224531889,3545.148406559574
0,100,5,sqrt,15,10,Train,0.7439610169356088,2667.1078789127114,0.2027507653202285,13714659.024249448,3703.3308013529454
0,100,5,sqrt,15,10,Test,0.7611543051959354,2633.534094693499,0.2032084754539222,12339478.793925934,3512.7594272773554
0,100,5,log2,3,2,Train,0.7392465760419369,2699.033756866603,0.20982194298277299,13967186.77831582,3737.2699632640697
0,100,5,log2,3,2,Test,0.7557668799314629,2658.9876596616423,0.20957287158824733,12617809.202432375,3552.155571259848
0,100,5,log2,3,5,Train,0.7449622197140704,2668.731115974184,0.20529193779210944,13661029.867640592,3696.0830439318584
0,100,5,log2,3,5,Test,0.7604373984588688,2636.870291353049,0.20615344612195416,12376516.327662986,3518.027334695253
0,100,5,log2,3,10,Train,0.7527059165688268,2648.297475923839,0.20125494978445088,13246240.83559922,3639.538547068738
0,100,5,log2,3,10,Test,0.7685369651267624,2615.5465997220767,0.20242961650649108,11958068.62978654,3458.044046825682
0,100,5,log2,5,2,Train,0.7489168816890649,2635.309839680473,0.20176897923885326,13449199.466292787,3667.315021414548
0,100,5,log2,5,2,Test,0.7645071673786685,2608.8056155909303,0.20309830370761423,12166259.963933071,3488.0166232306105
0,100,5,log2,5,5,Train,0.7600276301259987,2584.8496986595965,0.19683403702725935,12854055.22500185,3585.255252419533
0,100,5,log2,5,5,Test,0.775810385852689,2554.3577149936727,0.19741599475625213,11582302.087791722,3403.2781384705722
0,100,5,log2,5,10,Train,0.7552582740285378,2619.382633484009,0.20016892462109012,13109524.49713785,3620.707734288678
0,100,5,log2,5,10,Test,0.7712393939580012,2583.091820301684,0.20095972393197242,11818453.120775495,3437.79771376611
0,100,5,log2,10,2,Train,0.7506704386297913,2609.626688594312,0.19830587575755065,13355270.662038706,3654.4863745865446
0,100,5,log2,10,2,Test,0.7689755374720821,2581.275528367708,0.19998427941012914,11935410.678345906,3454.7663710222005
0,100,5,log2,10,5,Train,0.7300944504292219,2752.0739331743093,0.21032686269878917,14457417.916649617,3802.291140437515
0,100,5,log2,10,5,Test,0.7489063697834484,2702.795533530004,0.21047084208845238,12972243.55619531,3601.7000924834524
0,100,5,log2,10,10,Train,0.7473843323927745,2651.407583995612,0.20352904698424865,13531290.055721473,3678.49018698181
0,100,5,log2,10,10,Test,0.7649296589102303,2602.6761426553862,0.2033111234189566,12144432.795146978,3484.886338913649
0,100,5,log2,15,2,Train,0.7518695061154406,2634.0843489419576,0.20057453639934014,13291042.935792003,3645.688266403479
0,100,5,log2,15,2,Test,0.7685233469073851,2599.362281972966,0.20144762897148902,11958772.18749293,3458.145773025326
0,100,5,log2,15,5,Train,0.7507123940557161,2641.177348505487,0.2023965683475667,13353023.330972603,3654.1788860115485
0,100,5,log2,15,5,Test,0.767458502523412,2606.1308352313863,0.20378489796812488,12013785.214651097,3466.090768380294
0,100,5,log2,15,10,Train,0.7467307276008439,2680.237754385165,0.20438112296324504,13566300.219996689,3683.245881012655
0,100,5,log2,15,10,Test,0.7634590960000487,2645.26081160671,0.20554429361602747,12220406.447760677,3495.7697933017093
0,100,7,auto,3,2,Train,0.9050719993790131,1381.1709052748006,0.09337890120553384,5084792.7326877415,2254.948498899197
0,100,7,auto,3,2,Test,0.9037682759562867,1478.8183459369397,0.10299073189156585,4971617.006178187,2229.7123146671156
0,100,7,auto,3,5,Train,0.9086907341673446,1350.5612026791032,0.09173712505018206,4890956.180428526,2211.55062805004
0,100,7,auto,3,5,Test,0.9095966328310112,1428.1964669728548,0.10032390036029606,4670506.759589514,2161.1355255026265
0,100,7,auto,3,10,Train,0.90631825933842,1365.1128849095655,0.09267274350150717,5018037.154321213,2240.0975769642746
0,100,7,auto,3,10,Test,0.9077438144484101,1443.5532998260683,0.10108532307873665,4766228.866533315,2183.1694543789577
0,100,7,auto,5,2,Train,0.9038345004702404,1378.3103859883859,0.09320209012342001,5151079.027741607,2269.598869347094
0,100,7,auto,5,2,Test,0.9074546612418223,1448.3354213085108,0.10155337544456321,4781167.380973837,2186.5880684239173
0,100,7,auto,5,5,Train,0.9036742054640856,1377.6314226405207,0.09307384532234354,5159665.186483496,2271.489640408579
0,100,7,auto,5,5,Test,0.907148260289632,1456.6404349014824,0.10167266853052367,4796996.965237818,2190.20477701009
0,100,7,auto,5,10,Train,0.9033134626761525,1382.2959833242016,0.09327148828699067,5178988.276556523,2275.7390616141656
0,100,7,auto,5,10,Test,0.9059596733860834,1460.0459245939232,0.1018775510120987,4858402.898901845,2204.1785088558154
0,100,7,auto,10,2,Train,0.8989415274025063,1404.9968883941617,0.09410193504092638,5413169.80952671,2326.6219739198523
0,100,7,auto,10,2,Test,0.9037196801792068,1473.7944730071752,0.10262776763805831,4974127.608520189,2230.2752315622815
0,100,7,auto,10,5,Train,0.8990177423585531,1405.3310982848375,0.09438443935435104,5409087.375976082,2325.7444777911614
0,100,7,auto,10,5,Test,0.9049012305200652,1469.497974655501,0.10239298619982493,4913085.20460774,2216.5480379652818
0,100,7,auto,10,10,Train,0.8993493866328307,1401.4238285274507,0.09436849069228245,5391322.939933474,2321.9222510526647
0,100,7,auto,10,10,Test,0.9049132073081931,1463.3633330227428,0.10233005042044231,4912466.448120445,2216.408456968265
0,100,7,auto,15,2,Train,0.8956604230656888,1426.0120026880236,0.09548110048499804,5588921.277775282,2364.0899470568547
0,100,7,auto,15,2,Test,0.9030039004061939,1482.9835414712174,0.10304942422827153,5011106.919943235,2238.5501825831902
0,100,7,auto,15,5,Train,0.8909333340609029,1463.5932693643522,0.09725920074169997,5842126.52449981,2417.0491357231053
0,100,7,auto,15,5,Test,0.8983755508878615,1519.5154495062332,0.10454221711843696,5250221.218315628,2291.3361207635226
0,100,7,auto,15,10,Train,0.8946762604788252,1440.9145221097272,0.09630814384564747,5641637.681120248,2375.2131864572175
0,100,7,auto,15,10,Test,0.9023150622186478,1489.7204897333072,0.10349395878149381,5046694.348951089,2246.48488731865
0,100,7,sqrt,3,2,Train,0.8510142660964393,1915.857424844279,0.14194099284641465,7980380.626066734,2824.956747645304
0,100,7,sqrt,3,2,Test,0.8582951956633744,1935.8916333981144,0.14618323523563037,7320891.546919603,2705.71460928894
0,100,7,sqrt,3,5,Train,0.8484224304116186,1962.0643007651227,0.14534512782619904,8119211.605001137,2849.423030194207
0,100,7,sqrt,3,5,Test,0.8571399589438073,1976.5237551441708,0.14864252737519063,7380574.510913391,2716.72127957827
0,100,7,sqrt,3,10,Train,0.8454990909961128,1968.0290619360558,0.14485323373100742,8275799.491798546,2876.7689326392806
0,100,7,sqrt,3,10,Test,0.8543816893804941,1974.9119504412938,0.14823207727832402,7523074.918184098,2742.8224365029714
0,100,7,sqrt,5,2,Train,0.8518009361987628,1884.3088607060124,0.14019912270291418,7938242.854353956,2817.488749641062
0,100,7,sqrt,5,2,Test,0.862566819334899,1886.3090250956063,0.14281617309864436,7100206.766506664,2664.621317655975
0,100,7,sqrt,5,5,Train,0.846676416201873,1961.9484259462984,0.14435399425989784,8212736.384905972,2865.787219056218
0,100,7,sqrt,5,5,Test,0.8568039557679087,1972.1497733211856,0.1479864257037924,7397933.43407545,2719.914232852839
0,100,7,sqrt,5,10,Train,0.8483703472350266,1949.6599548656523,0.14354463228972578,8122001.426298304,2849.9125295872336
0,100,7,sqrt,5,10,Test,0.8582169364061502,1957.941889349524,0.14661005526518447,7324934.6528493045,2706.4616481393755
0,100,7,sqrt,10,2,Train,0.8485324754851411,1935.9447218777457,0.1424974748753237,8113317.070338494,2848.388504108682
0,100,7,sqrt,10,2,Test,0.8585301835784861,1941.6829202393262,0.14536229634692116,7308751.372495571,2703.470246275252
0,100,7,sqrt,10,5,Train,0.838631474499899,2006.2148438961417,0.14759811941969384,8643661.51588413,2940.010461866442
0,100,7,sqrt,10,5,Test,0.8506168608672287,2005.225035535282,0.15055681546631994,7717577.153781508,2778.0527629585276
0,100,7,sqrt,10,10,Train,0.8391024535732634,2015.3481880635968,0.14977561370880824,8618433.648934182,2935.7168884165553
0,100,7,sqrt,10,10,Test,0.8501675015417614,2016.638685778981,0.15281390064950828,7740792.392691317,2782.2279548396673
0,100,7,sqrt,15,2,Train,0.8350208619136354,2044.9771335953565,0.15097852857868044,8837063.004581712,2972.719799204377
0,100,7,sqrt,15,2,Test,0.8472986220833214,2044.5015631075662,0.15392258366797124,7889007.2360394085,2808.7376588139036
0,100,7,sqrt,15,5,Train,0.8293648018540458,2072.474029771361,0.15663407367118623,9140028.33513233,3023.247977776936
0,100,7,sqrt,15,5,Test,0.8431227164321675,2052.833636939084,0.15783935415048722,8104746.938905392,2846.883724163211
0,100,7,sqrt,15,10,Train,0.8373987967843308,2017.382114211266,0.14869150053176006,8709689.565025218,2951.2183187668816
0,100,7,sqrt,15,10,Test,0.8497684496055153,2016.2813124905263,0.15166976972980473,7761408.602286483,2785.9304733403674
0,100,7,log2,3,2,Train,0.8485111287322415,1945.6554740287356,0.14357582391521082,8114460.503396186,2848.589212820302
0,100,7,log2,3,2,Test,0.8565255494049177,1955.6847940236619,0.14646633497327327,7412316.7346203495,2722.557021371701
0,100,7,log2,3,5,Train,0.8418462200810793,1990.7639152227812,0.14917960520492043,8471464.536471382,2910.5780416390458
0,100,7,log2,3,5,Test,0.8504544220379254,1998.9568597395194,0.15214106542295386,7725969.226710187,2779.562776177251
0,100,7,log2,3,10,Train,0.8483101457534958,1944.8682870907223,0.14313101823103253,8125226.102408435,2850.478223458028
0,100,7,log2,3,10,Test,0.8575411307256169,1952.6998583416548,0.14629994604850755,7359848.783793122,2712.9041235902755
0,100,7,log2,5,2,Train,0.850478463828991,1933.3714454020442,0.14269036513548986,8009080.729912346,2830.0319308997814
0,100,7,log2,5,2,Test,0.8589801242389172,1949.7931953292125,0.1464700818973581,7285506.100092944,2699.1676680215596
0,100,7,log2,5,5,Train,0.8487108538485566,1944.5402736696508,0.14103440762932257,8103762.28144554,2846.7107828941
0,100,7,log2,5,5,Test,0.8584393808915347,1951.1935966224826,0.14453128673526242,7313442.509302486,2704.337721014608
0,100,7,log2,5,10,Train,0.8559605365555316,1872.5267879026576,0.1384321061513559,7715434.983898219,2777.6671837889826
0,100,7,log2,5,10,Test,0.8674813854302137,1871.903097934594,0.14162216927402338,6846305.66871116,2616.5446047623877
0,100,7,log2,10,2,Train,0.8383027163154054,2017.3081165662204,0.14910158569755966,8661271.3593064,2943.003798724426
0,100,7,log2,10,2,Test,0.8511258151383958,2012.747966871885,0.15146961040735624,7691283.062773099,2773.3162572582846
0,100,7,log2,10,5,Train,0.8469989619201048,1965.6546406556274,0.14482732808888127,8195459.310562302,2862.7712641009766
0,100,7,log2,10,5,Test,0.8590280303530272,1963.0472592179146,0.1477041481004902,7283031.127790664,2698.709159541032
0,100,7,log2,10,10,Train,0.825787305552554,2120.489076795066,0.16147591308784273,9331655.958974035,3054.7759261481087
0,100,7,log2,10,10,Test,0.8375638691188416,2107.5598497171636,0.16360224203138304,8391933.520173805,2896.8834150123826
0,100,7,log2,15,2,Train,0.8362452169661909,2039.4169745960974,0.15385887312951654,8771480.756638665,2961.6685764343492
0,100,7,log2,15,2,Test,0.8480508102321612,2041.783966012009,0.15722282555031888,7850146.959661953,2801.81137117793
0,100,7,log2,15,5,Train,0.8353302053577385,2035.8842115677623,0.15187370573911155,8820493.106488528,2969.93149861887
0,100,7,log2,15,5,Test,0.8489612551713592,2030.3033703824717,0.15470482445437378,7803110.666922879,2793.404851954489
0,100,7,log2,15,10,Train,0.8323731241027708,2057.494803978404,0.15401579928565157,8978888.36580997,2996.4793284469642
0,100,7,log2,15,10,Test,0.8449439094662893,2062.5634067486017,0.15826220728900153,8010658.691501035,2830.3107058238384
0,150,3,auto,3,2,Train,0.6777364357424378,3138.988365595948,0.22104961681798221,17261960.84219038,4154.7515981332
0,150,3,auto,3,2,Test,0.6947165026026907,3120.7836520528294,0.22233489705659307,15771853.22666128,3971.3792599878043
0,150,3,auto,3,5,Train,0.6798424390702061,3126.8295106757673,0.22043985952037715,17149153.342337858,4141.153624575869
0,150,3,auto,3,5,Test,0.6969736928715938,3107.3229149489844,0.22162820604099204,15655240.065683708,3956.6703256252863
0,150,3,auto,3,10,Train,0.6811844886737568,3118.3514641919364,0.22003421554602356,17077266.8175359,4132.464980799704
0,150,3,auto,3,10,Test,0.6987673314119764,3098.4762808112882,0.22126108197577868,15562575.36535835,3944.9430116743574
0,150,3,auto,5,2,Train,0.679491380241113,3127.102854431715,0.22050890611425783,17167957.713769272,4143.423429215179
0,150,3,auto,5,2,Test,0.6973332387099582,3103.641419823831,0.2215854513225031,15636664.858575283,3954.322300796343
0,150,3,auto,5,5,Train,0.6806418049511886,3120.457281958217,0.22026242990653908,17106335.52466774,4135.9806001319375
0,150,3,auto,5,5,Test,0.6985188433199547,3097.801282604433,0.22134133329918323,15575412.999063915,3946.5697762821724
0,150,3,auto,5,10,Train,0.6775860431418212,3138.428040398957,0.22105033096493523,17270016.58125223,4155.7209460275635
0,150,3,auto,5,10,Test,0.6951973857970718,3116.289963112723,0.22220818520805868,15747009.370948121,3968.250164864625
0,150,3,auto,10,2,Train,0.6784586982838929,3129.64352242344,0.22065714175455114,17223273.04409226,4150.093136797325
0,150,3,auto,10,2,Test,0.6971192458316771,3104.5675480379678,0.22173013717908172,15647720.366968542,3955.719955579331
0,150,3,auto,10,5,Train,0.6777667304976853,3134.0002958083937,0.22086833393601998,17260338.11180195,4154.556307453535
0,150,3,auto,10,5,Test,0.6962922214978018,3108.2936611033015,0.22193815914192147,15690446.903188031,3961.116875729373
