P,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
1,0,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,1,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,2,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,0,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,1,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,2,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,0,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,1,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,2,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,0,5.432169773574073,36236.39925528824,29.50846844893181,3.3173052822024123,0.014501582546381,0.9972773075259898,-4160.383709928855,-4170.609994146269
1,1,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,2,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,0,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,1,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,2,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,0,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,1,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,2,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,0,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,1,5.773972926973061,40940.001407821124,33.33876336141783,3.5069773823951405,0.015306597272133658,0.996923893212078,-4312.253123851816,-4327.5925501779375
1,2,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,0,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,1,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,2,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,0,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,1,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,2,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,0,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,1,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
1,2,5.932961465079145,43225.63898422808,35.20003174611404,3.572102292151482,0.015614140723848006,0.9967521573786207,-4380.965696943755,-4401.418265378583
2,0,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,1,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,2,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,0,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,1,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,2,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,0,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
2,1,6.019216684380039,44491.63053804136,36.23096949351902,3.6166019829268463,0.015879958461249507,0.996657034636114,-4418.414716144813,-4443.980426688348
