P,D,Q,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
4,0,5,0.17651392997025064,54.81302651546935,0.04463601507774393,0.021921684778319087,0.004395504858590137,0.8018645437972749,13556.924639434721,13609.760441224696
4,1,5,0.13950044361160832,23.93318864092551,0.01948956729717059,0.016149455177920092,0.0030909442170680822,0.8747123264193849,13765.235929829529,13816.367350916598
4,2,5,0.22910638089631352,64.87970955287908,0.052833639701041574,0.024134267081918754,0.00475749946647037,0.678045415906262,13765.221292349117,13816.352713436187
4,3,5,0.186254944272254,64.03105444253082,0.05214255247763089,0.023491787789961343,0.004464499355317821,0.5705930527791471,13886.438790179827,13939.2745919698
4,4,5,0.19914278645177283,57.99191970082777,0.047224690310120394,0.020711767120841728,0.004111679768665333,0.7329183886070577,13644.680942767749,13695.81236385482
4,5,5,0.15162330660326104,39.927445896285796,0.032514206755932994,0.01931020992049628,0.003582439633310938,0.6955994712240962,13974.85809427697,14027.693896066943
